CustomerID,Recency,Frequency,Monetary,Cluster,Persona,Persona_Description
12346,325,1,3691.769999999999,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12347,1,7,3691.769999999999,3,Khách hàng VIP (Champions),Chưa có mô tả do lỗi kết nối AI.
12348,74,4,1797.24,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12349,18,1,1757.55,0,Khách hàng tiềm năng,Chưa có mô tả do lỗi kết nối AI.
12350,309,1,334.4,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12352,35,8,2506.04,3,Khách hàng VIP (Champions),Chưa có mô tả do lỗi kết nối AI.
12353,203,1,89.0,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12354,231,1,1079.4,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12355,213,1,459.4,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12356,22,3,2811.43,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12357,32,1,3691.769999999999,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12358,1,2,1168.06,0,Khách hàng tiềm năng,Chưa có mô tả do lỗi kết nối AI.
12359,57,4,3691.769999999999,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12360,51,3,2662.06,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12361,286,1,189.9,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12362,2,10,3691.769999999999,3,Khách hàng VIP (Champions),Chưa có mô tả do lỗi kết nối AI.
12363,109,2,552.0,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12364,7,4,1313.1,3,Khách hàng VIP (Champions),Chưa có mô tả do lỗi kết nối AI.
12365,290,2,641.38,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12367,3,1,168.9,0,Khách hàng tiềm năng,Chưa có mô tả do lỗi kết nối AI.
12370,50,4,3541.94,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12371,44,2,1887.96,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12372,71,3,1298.04,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12373,310,1,364.6,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12374,24,1,742.9300000000001,0,Khách hàng tiềm năng,Chưa có mô tả do lỗi kết nối AI.
12375,10,2,457.5,0,Khách hàng tiềm năng,Chưa có mô tả do lỗi kết nối AI.
12377,314,2,1628.12,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12378,129,1,3691.769999999999,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12379,81,2,852.24,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12380,21,4,2724.81,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12381,4,5,1845.31,3,Khách hàng VIP (Champions),Chưa có mô tả do lỗi kết nối AI.
12383,184,5,1850.56,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12384,28,2,585.27,0,Khách hàng tiềm năng,Chưa có mô tả do lỗi kết nối AI.
12386,327,2,401.9,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12388,15,6,2780.66,3,Khách hàng VIP (Champions),Chưa có mô tả do lỗi kết nối AI.
12390,79,1,549.84,1,Khách hàng cần chăm sóc,Chưa có mô tả do lỗi kết nối AI.
12391,21,1,439.66,0,Khách hàng tiềm năng,Chưa có mô tả do lỗi kết nối AI.
12393,71,4,1582.6,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
12394,63,2,1272.48,2,Khách hàng trung thành,Chưa có mô tả do lỗi kết nối AI.
